prev,prev-href,title,date,author
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","[爆卦] 打臉陳其邁，公然說謊，退選高雄市長","4/29","cs2260cs"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","Re: [問卦] 司法官化名去教國考班  可以右肩女學員嗎","4/29","gentleman888"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","Re: [問卦] 板上都沒人補過陳興國文嗎?","4/29","daisy100"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","[問卦] 國文這個科目是簡單還是難？","4/29","ipadmini6"
"","","Re: [問卦] 林小姐事件是不是被無限上綱了","4/29","ROUTE777"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","Re: [問卦] 在新北當補教老師到底有多爽啊！！","4/29","mean"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","null","4/29","-"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","[問卦] 伺服器一直斷有何解","4/29","Drifting"
"","","[問卦] 誘姦到底是啥","4/29","flyingfei77"
"","","[問卦] 女森和補習班老師／助教交往不是常態嗎","4/29","hiinnlive"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","[問卦] 台北這兩天空氣濕度有40%嗎??","4/29","dispptt"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","Re: [爆卦] 有人要暗殺本肥宅！","4/29","gentleman888"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","[問卦] 女生要對男生負責嗎","4/29","clever0705"
"","","[協尋] 4/26 09:30台中建國路往中山醫院方向事故","4/28","IbakaBlock"
"","","[新聞] 北市100%容積代金 比掮客還可惡","4/29","energy2616"
"","","[問卦] 舞鶴奶茶和阿薩姆奶茶差在哪？","4/29","johnnywanwan"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","Re: [問卦] 請問今天陳興老師有要上課嗎","4/29","mirac1e"
"","","[公告] 八卦板板規(2016.08.16)","8/16","Bignana"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","null","4/29","-"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","null","4/29","-"
"","","[問卦] 女生會癢嗎?","4/29","DoraGmon"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","[問卦] 如果鐵皮用同一種顏色??","4/29","Batato"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","[問卦] 要怎麼解決前幾樓帶風向的問題?","4/29","DevilEnvy"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","Re: [新聞] 林奕含香消玉殞 才女作家得年26歲","4/29","godiegroup"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","[新聞] 川蔡不再熱線　陸：反對官方往來","4/29","Agguy"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","Re: [新聞] 「人插進妳的嘴巴，而妳向他對不起」她13","4/29","qsandy217"
"","","[問卦] 麥當勞11號餐的八卦？","4/29","phy1234"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","[爆卦] 蔣中正也曾誘姦14歲少女!!!","4/29","TWN5566"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","Re: [新聞] 【有片】行人疑闖紅燈過馬路　黃牌重機","4/29","leew633"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","[問卦] 林毅夫守得住街亭嗎","4/29","xavier1394"
"","","[問卦] 有沒有還沒採訪到補習班老師的八卦","4/29","plmokn"
"","","[問卦] 有沒有八卦板的素質越來越低的八卦?","4/29","kugga"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","[新聞] 蔡英文首度表態買F-35戰機 軍方評估預算","4/29","joug"
"","","[問卦] 肥宅很會背沉澱表 有加分嗎?","4/29","ILoveElsa"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","[問卦] 台北五萬薪等於台中多少？","4/29","hbkgod619"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","[協尋]4/28啤酒廠往善化大成路橋上 行車記錄器","4/29","dv8593"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","[問卦] 富不過三代是不是騙窮人的？","4/29","soodoo"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","Re: [問卦] 女生不知道穿短褲露白皙腿腿會讓人雞硬嗎","4/29","CavendishJr"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","Re: [問卦] 以後還該不該教女生要保護自己？","4/29","Aerci"
"","","[問卦] 該怎麼追空姐？","4/29","damingli90"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","[新聞] 仁愛路改雙向？柯Ｐ改口:如果大家不喜歡","4/29","funkboy"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","[問卦] 有沒有小孩是餐廳天敵的八卦?","4/29","hopeushappy"
"","","[問卦] 住破房子又不都更的人在想甚麼？","4/29","oftisa"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","[問卦] 處女膜跟耳膜破掉的感覺是不是差不多？","4/29","Qpera"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","[問卦]如何集鄉民之力導正PTT八卦版風氣?","4/29","ffgordon"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","[問卦] 在軍艦岩該怎麼辦","4/29","AngelsDemon"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","Re: [新聞] 川普罵金正恩射砲　「膽敢對中國不敬」","4/29","geordie"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","[問卦] 奧地利人為什麼不會去宣稱領土r?","4/29","adagiox"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","Re: [問卦] 奧地利人為什麼不會去宣稱領土r?","4/29","antonysole"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","[新聞] 女同志「動刑」懲治情敵 剪髮逼裸身朗讀","4/29","IbakaBlock"
"","","Fw: [協尋] 內湖4/26行車記錄器","4/27","linein"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","Re: [問卦] 有沒有世界上後台最硬家族的八卦","4/29","unique681"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","[問卦] 打完炮多久沒事才算安全？","4/29","hope951"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23304.html","Re: [問卦] 所以現在大家還會反對""家教限女""嗎？","4/29","words2012"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23305.html","Re: [新聞] 林奕含香消玉殞 才女作家得年26歲","4/29","NYUgod"
"‹ 上頁","https://www.ptt.cc/bbs/Gossiping/index23306.html","Re: [問卦] 聖母峰北側路線爲何不受歡迎","4/29","CrazyMika"
"","","[新聞]【男神聊很開】金城武罕見談戀情　放屁也","4/29","Kaneshiro5"
